concentration,Gl SET 1,Gl SET 2,Gl SET 3
454,13927.12,14277.12,14199.96
455,13911.4,14257.4,14172.2
456,13895.68,14237.68,14144.44
457,13879.96,14217.96,14116.68
458,13864.24,14198.24,14088.92
459,13848.52,14178.52,14061.16
460,13832.8,14158.8,14033.4
461,13817.08,14139.08,14005.64
462,13801.36,14119.36,13977.88
463,13785.64,14099.64,13950.12
464,13769.92,14079.92,13922.36
465,13754.2,14060.2,13894.6
466,13738.48,14040.48,13866.84
467,13722.76,14020.76,13839.08
468,13707.04,14001.04,13811.32
469,13691.32,13981.32,13783.56
470,13675.6,13961.6,13755.8
471,13659.88,13941.88,13728.04
472,13644.16,13922.16,13700.28
473,13628.44,13902.44,13672.52
474,13612.72,13882.72,13644.76
475,13597.0,13863.0,13617.0
476,13581.28,13843.28,13589.24
477,13565.56,13823.56,13561.48
478,13549.84,13803.84,13533.72
479,13534.12,13784.12,13505.96
480,13518.4,13764.4,13478.2
481,13502.68,13744.68,13450.44
482,13486.96,13724.96,13422.68
483,13471.24,13705.24,13394.92
484,13455.52,13685.52,13367.16
485,13439.8,13665.8,13339.4
486,13424.08,13646.08,13311.64
487,13408.36,13626.36,13283.88
488,13392.64,13606.64,13256.119999999999
489,13376.92,13586.92,13228.36
490,13361.2,13567.2,13200.6
491,13345.48,13547.48,13172.84
492,13329.76,13527.76,13145.08
493,13314.04,13508.04,13117.32
494,13298.32,13488.32,13089.56
495,13282.6,13468.6,13061.8
496,13266.88,13448.880000000001,13034.04
497,13251.16,13429.16,13006.28
498,13235.44,13409.44,12978.52
499,13219.72,13389.72,12950.76
500,13204.0,13370.0,12923.0
