concentration,Ca SET1,Ca SET2,Ca SET3
3.769230769230769,37452.53846153846,36949.07692307692,37384.0
3.8076923076923075,37412.11538461538,36922.230769230766,37355.0
3.8461538461538463,37371.692307692305,36895.38461538462,37326.0
3.8846153846153846,37331.269230769234,36868.53846153846,37297.0
3.9230769230769234,37290.846153846156,36841.692307692305,37268.0
3.9615384615384617,37250.42307692308,36814.846153846156,37239.0
4.038461538461538,37177.92307692308,36751.11538461538,37170.38461538462
4.076923076923077,37145.846153846156,36714.230769230766,37130.769230769234
4.115384615384615,37113.769230769234,36677.346153846156,37091.153846153844
4.153846153846154,37081.692307692305,36640.46153846154,37051.53846153846
4.1923076923076925,37049.61538461538,36603.57692307692,37011.92307692308
4.230769230769231,37017.53846153846,36566.692307692305,36972.307692307695
4.269230769230769,36985.46153846154,36529.807692307695,36932.692307692305
