concentration,Hb SET1,Hb SET2,Hb SET3
17.047619047619047,15141.333333333334,15049.142857142857,15036.190476190477
17.095238095238095,15080.666666666666,15002.285714285714,14996.380952380952
17.142857142857142,15020.0,14955.42857142857,14956.57142857143
17.19047619047619,14959.333333333334,14908.57142857143,14916.761904761905
17.238095238095237,14898.666666666666,14861.714285714286,14876.952380952382
17.285714285714285,14838.0,14814.857142857143,14837.142857142857
17.333333333333332,14777.333333333334,14768.0,14797.333333333334
17.38095238095238,14716.666666666666,14721.142857142857,14757.52380952381
17.428571428571427,14656.0,14674.285714285714,14717.714285714286
17.476190476190474,14595.333333333334,14627.42857142857,14677.904761904761
17.523809523809526,14534.666666666666,14580.57142857143,14638.095238095239
17.571428571428573,14474.0,14533.714285714286,14598.285714285714
17.61904761904762,14413.333333333334,14486.857142857143,14558.47619047619
17.666666666666668,14352.666666666666,14440.0,14518.666666666666
17.714285714285715,14292.0,14393.142857142857,14478.857142857143
17.761904761904763,14231.333333333334,14346.285714285714,14439.047619047618
17.80952380952381,14170.666666666666,14299.42857142857,14399.238095238095
17.857142857142858,14110.0,14252.57142857143,14359.42857142857
17.904761904761905,14049.333333333334,14205.714285714286,14319.619047619048
17.952380952380953,13988.666666666666,14158.857142857143,14279.809523809523
18.047619047619047,13919.47619047619,14077.142857142857,14219.714285714286
18.095238095238095,13910.952380952382,14042.285714285714,14199.42857142857
18.142857142857142,13902.42857142857,14007.42857142857,14179.142857142857
18.19047619047619,13893.904761904761,13972.57142857143,14158.857142857143
18.238095238095237,13885.380952380952,13937.714285714286,14138.57142857143
18.285714285714285,13876.857142857143,13902.857142857143,14118.285714285714
18.333333333333332,13868.333333333334,13868.0,14098.0
18.38095238095238,13859.809523809523,13833.142857142857,14077.714285714286
18.428571428571427,13851.285714285714,13798.285714285714,14057.42857142857
18.476190476190474,13842.761904761905,13763.42857142857,14037.142857142857
18.523809523809526,13834.238095238095,13728.57142857143,14016.857142857143
18.571428571428573,13825.714285714286,13693.714285714286,13996.57142857143
18.61904761904762,13817.190476190477,13658.857142857143,13976.285714285714
18.666666666666668,13808.666666666666,13624.0,13956.0
18.714285714285715,13800.142857142857,13589.142857142857,13935.714285714286
18.761904761904763,13791.619047619048,13554.285714285714,13915.42857142857
18.80952380952381,13783.095238095239,13519.42857142857,13895.142857142857
18.857142857142858,13774.57142857143,13484.57142857143,13874.857142857143
18.904761904761905,13766.047619047618,13449.714285714286,13854.57142857143
18.952380952380953,13757.52380952381,13414.857142857143,13834.285714285714
19.047619047619047,13705.857142857143,13358.714285714286,13779.47619047619
19.095238095238095,13662.714285714286,13337.42857142857,13744.952380952382
19.142857142857142,13619.57142857143,13316.142857142857,13710.42857142857
19.19047619047619,13576.42857142857,13294.857142857143,13675.904761904761
19.238095238095237,13533.285714285714,13273.57142857143,13641.380952380952
19.285714285714285,13490.142857142857,13252.285714285714,13606.857142857143
19.333333333333332,13447.0,13231.0,13572.333333333334
19.38095238095238,13403.857142857143,13209.714285714286,13537.809523809523
19.428571428571427,13360.714285714286,13188.42857142857,13503.285714285714
19.476190476190474,13317.57142857143,13167.142857142857,13468.761904761905
19.523809523809526,13274.42857142857,13145.857142857143,13434.238095238095
19.571428571428573,13231.285714285714,13124.57142857143,13399.714285714286
19.61904761904762,13188.142857142857,13103.285714285714,13365.190476190477
19.666666666666668,13145.0,13082.0,13330.666666666666
19.714285714285715,13101.857142857143,13060.714285714286,13296.142857142857
19.761904761904763,13058.714285714286,13039.42857142857,13261.619047619048
19.80952380952381,13015.57142857143,13018.142857142857,13227.095238095239
19.857142857142858,12972.42857142857,12996.857142857143,13192.57142857143
19.904761904761905,12929.285714285714,12975.57142857143,13158.047619047618
19.952380952380953,12886.142857142857,12954.285714285714,13123.52380952381
20.047619047619047,12833.333333333334,12912.857142857143,13078.190476190477
20.095238095238095,12823.666666666666,12892.714285714286,13067.380952380952
20.142857142857142,12814.0,12872.57142857143,13056.57142857143
20.19047619047619,12804.333333333334,12852.42857142857,13045.761904761905
